"","Economic","Environment","wantPossible","unityDifferences","lawsPeople","ownAll","pCongress","pBusiness","tCongress","tBusiness","Change","LGBT","mLeft","mRight"
"732",16.8936933762726,58.3078386436436,100,100,100,0,83.17451766043,49.5886600378788,19.5065931840376,51.6719962611343,69.1741440228759,6,5,7
"733",86.5349595323741,6.5349595323741,72,0,0,0,26.8581081081081,81.5165751689189,20.945945945946,77.124683277027,51.0805418165467,1,8,8
"734",10.1680998406259,39.818899072819,72,69,66,31,30.3783392604393,15.7309556309181,43.0365526223485,15.9117867675009,47.0830716360945,2,4,7
"735",1.85183021757338,98.1481697824266,100,0,100,100,83.9930454889933,40.0752305984497,13.8078716066148,61.9270828035143,52.2207756837209,4,4,4
"736",29.2215602517986,28.5965602517986,78,53,45,18,71.6216216216216,72.0571157094595,3.5472972972973,49.0841427364865,71.3930418165467,4,3,4
"737",72.0231030555762,11.7090525501433,89,13,NA,75,60.887983780873,76.7708536944812,55.0085888633245,67.5612184065807,51.3952746535892,3,5,8
"738",3.48111694412011,2.24769816156803,100,100,0,0,0,72.7207819620768,2.11153692669339,95.41580941942,94.996122729598,1,4,4
"739",28.3784847122302,30.8784847122302,60,9,94,91,43.4121621621622,80.8408994932432,24.6621621621622,56.5165751689189,31.6605777877699,2,3,7
"740",3.54199491823255,1.15790449464857,100,48,100,0,95.7827533994402,56.2720486095973,74.3795224598476,66.8415529387338,97.3341461141489,3,3,4
"741",16.759779676259,39.259779676259,85,86,99,14,81.5878378378378,82.6990076013514,22.4662162162162,25.2665751689189,30.9535184352518,5,2,4
"742",15.3059051242987,74.9018801331765,5,100,100,100,NA,NA,NA,NA,15.2411929836242,5,4,7
"743",15.9684127697842,18.4684127697842,87,83,94,10,49.6576619778346,64.0438512361466,40.7915068201194,39.8324275362319,82.4744267086331,5,3,4
"744",96.1077008928571,3.89229910714286,100,78,0,100,60.6869050434658,86.1009069851467,58.733776637486,88.5771904672895,77.945179364937,4,1,7
"745",6.92389838129497,82.548898381295,99,28,0,100,84.6283783783784,70.7057643581081,26.3513513513513,52.2936021959459,36.4514950539568,4,4,5
"746",57.4689017096869,9.34390170968694,59,29,82,68,51.7085122654581,75.4549544896835,75.640136197082,39.0446980794271,24.2507896148901,4,5,7
"747",6.20378696728963,6.20378696728963,100,100,0,0,NA,NA,NA,NA,50,5,4,7
"748",22.9550499445061,36.1625971143174,82,NA,0,0,37.6228380503145,15.5119889937107,36.6794418238994,63.6251965408805,54.1919590768092,3,3,5
"749",1.54778085349346,6.30699451299189,52,98,49,51,80.3133779101902,48.5798676808675,2.88578801684909,46.3988383611043,53.300824105087,6,3,3
"750",29.912110710828,30.4572309500858,88,66,96,27,80.1139525004796,65.8920236996242,24.8331104006086,71.3303991726467,47.6437535735949,4,3,5
"751",1.89467176258994,91.8946717625899,75,76,12,15,44.5945945945946,78.6449535472973,21.4527027027027,76.9557643581081,91.9045076438849,5,4,7
"752",3.91805305755395,6.41805305755395,100,100,100,0,81.0810810810811,74.0841427364865,55.2364864864865,62.0908994932432,42.2484824640288,5,5,7
"753",6.96438566104396,4.94096005826226,100,13,100,100,45.7322927661061,61.3611245932877,64.4593493116386,44.2252525019068,50.8185433856442,4,3,7
"754",92.6652999555347,3.28486639611695,50,1,99,50,88.0043955104749,36.0730184453804,63.1756834081701,76.087423273035,49.9105573596381,5,1,5
"755",100,0,100,100,0,100,46.5506858295864,65.943529870775,NA,NA,52.9075605512265,3,2,3
"756",4.59010429293565,4.09628113551918,100,97,0,0,NA,NA,18.9516425132752,87.8327555126614,50,4,7,7
"757",5.96422399191985,88.5568464309864,90,100,100,100,68.6226977242364,50.1716534296672,46.9560278786553,59.8900583055284,5.29274417978425,4,7,7
"758",93.3381935589996,3.3293208115783,76,50,82,79,56.9256756756757,76.2800886824324,16.0472972972973,45.5368454391892,4.40113534172662,3,1,7
"759",80.2514048579255,8.49920896983002,91,14,100,1,34.0590662426419,56.8736579683092,24.2577791213989,52.6203182008531,72.0489467246297,3,1,7
"760",1.5625,98.4375,100,0,0,100,53.7162162162162,19.5233319256757,38.6824324324324,62.9354940878378,100,2,7,7
"761",6.1437724820144,2.39377248201439,99,100,100,1,84.1216216216216,47.5638724662162,33.1081081081081,71.5503589527027,91.322223471223,4,5,5
"762",22.0655350719424,19.5655350719424,31,94,96,1,81.5878378378378,87.0908994932432,19.7635135135135,61.7530616554054,33.419795413669,5,5,7
"763",88.2928278711107,11.7071721288893,100,100,40,25,33.4374878141615,78.5937680138482,12.1411932839288,46.3715195655823,53.4259259700775,4,1,1
"764",83.6289620570999,8.00398113058625,31,99,100,66,73.0244415075398,31.3139554879901,27.9988619147522,68.6647203774616,50.3007044552041,3,5,7
